"hepscore_version","hepscore_config_hash","hepscore_repetitions","site","CPU_Model","Online_CPUs_list","Count","p5","p50","p95"
v1.5rc9,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Neoverse-N1,0-159,17,2701,2714,2725
v1.5rc9,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,0-63,12,702,712,719
v1.5rc9,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,0-63,18,1016,1019,1021
v1.5rc9,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,0-63,2,689,690,690
v1.5rc9,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,0-63,6,707,708,710
v1.5rc9,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,0-55,11,620,631,633
v1.5rc9,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,0-47,11,475,481,483
v1.5rc9,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,0-31,11,313,319,320
v1.5rc9,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,AMD EPYC 7302 16-Core Processor,0-63,18,980,984,989
v1.5rc8,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Neoverse-N1,0-159,7,2699,2708,2719
v1.5rc8,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,0-63,12,705,708,710
v1.5rc8,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,0-63,17,1009,1013,1021
v1.5rc8,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,0-63,12,708,709,710
v1.5rc8,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,0-55,12,620,622,622
v1.5rc8,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,0-47,12,476,477,478
v1.5rc8,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,0-31,12,313,314,315
v1.5rc8,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,AMD EPYC 7302 16-Core Processor,0-63,18,988,990,995
v1.5rc10,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,AMD EPYC 7742 64-Core Processor,0-255,38,2931,2947,2961
v1.5rc10,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,AMD EPYC 7702 64-Core Processor,0-255,10,2537,2547,2553
v1.5rc10,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,0-63,6,713,714,716
v1.5rc10,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,0-63,10,1017,1018,1020
v1.5rc10,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,0-63,6,689,690,691
v1.5rc10,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,0-55,6,630,631,633
v1.5rc10,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,0-47,6,481,482,483
v1.5rc10,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,0-31,6,319,319,320
v1.5rc10,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,AMD EPYC 7302 16-Core Processor,0-63,10,980,981,984
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,UKI-SCOTGRID-GLASGOW,not_available,0-79,7,1515,1517,1519
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,UKI-SCOTGRID-GLASGOW,AMD EPYC 7643 48-Core Processor,0-95,7,1353,1357,1358
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,UKI-SCOTGRID-GLASGOW,AMD EPYC 7513 32-Core Processor,0-127,1,1882,1882,1882
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,UKI-LT2-QMUL,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,0-95,2,1049,1051,1053
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,UKI-LT2-QMUL,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,0-95,2,1162,1162,1162
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,UKI-LT2-QMUL,AMD EPYC 7402 24-Core Processor,0-95,1,1502,1502,1502
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,SDSC,Intel(R) Xeon(R) Platinum 8362 CPU @ 2.80GHz,0-63,21,432,1557,1567
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,SDSC,AMD EPYC 7742 64-Core Processor,0-127,10,2414,2451,2487
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,PIC,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,0-55,16,616,622,625
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,PIC,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,0-31,32,337,342,344
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,PIC,AMD EPYC 7452 32-Core Processor,0-127,16,1507,1516,1521
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,Nikhef,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0-39,20,796,798,799
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,Nikhef,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,0-23,20,427,429,430
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,Nikhef,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,0-47,20,470,474,474
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,Nikhef,AMD EPYC 7H12 64-Core Processor,0-63,20,1378,1382,1385
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,Nikhef,AMD EPYC 7702P 64-Core Processor,0-63,20,1290,1292,1295
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,Nikhef,AMD EPYC 7551P 32-Core Processor,0-63,20,634,637,653
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,Nikhef,AMD EPYC 7551P 32-Core Processor,0-31,20,524,526,528
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,NDGF-UCPH,AMD EPYC 7443P 24-Core Processor,0-47,3,770,789,842
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,NDGF-UCPH,AMD EPYC 7302 16-Core Processor,0-63,1,893,893,893
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,NDGF-T1,"Intel Core Processor (Haswell, no TSX, IBRS)",0-23,11,303,404,407
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,Intel,Intel (R) Xeon (R) CPU Max 9480,0-223,12,3151,3276,3294
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,Intel,Intel (R) Xeon (R) CPU Max 9462,0-127,2,2445,2450,2455
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IN2P3-SUBATECH,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,0-39,10,372,374,381
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IN2P3-SUBATECH,Intel(R) Xeon(R) CPU E5-2407 v2 @ 2.40GHz,0-7,10,92.2,92.4,92.9
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IN2P3-SUBATECH,Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz,0-7,6,78.1,79.2,80.3
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IJCLAB,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,0-63,78,673,676,680
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IJCLAB,AMD EPYC 7702 64-Core Processor,0-255,16,2656,2691,2696
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IHEP,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,0-63,42,1423,1428,1439
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IHEP,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,0-63,24,1389,1401,1407
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IHEP,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,0-55,24,1179,1183,1187
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IHEP,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,0-39,23,825,828,830
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IHEP,Intel(R) Xeon(R) Gold 6238R CPU @ 2.20GHz,0-55,26,1082,1093,1098
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IHEP,AMD EPYC 9654 96-Core Processor,0-383,26,5965,6005,6024
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IHEP,AMD EPYC 9654 96-Core Processor,0-191,25,4944,4957,4966
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IHEP,AMD EPYC 7773X 64-Core Processor,0-255,25,3381,3388,3397
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,IHEP,AMD EPYC 7773X 64-Core Processor,0-127,22,2958,2974,2987
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa-Tier3,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,0-47,11,548,549,550
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa-Tier3,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,0-55,11,611,617,619
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa-Tier3,AMD EPYC 7662 64-Core Processor,0-254,12,2476,2493,2503
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,0-31,61,89.4,239,241
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,0-15,69,200,203,205
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz,0-31,116,183,222,224
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz,0-15,120,187,189,191
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,0-39,120,384,392,399
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,0-19,60,335,340,343
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,0-31,160,291,292,299
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,0-15,80,245,247,248
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,AMD EPYC 7742 64-Core Processor,0-255,60,2931,2942,2963
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,AMD EPYC 7742 64-Core Processor,0-127,59,2483,2500,2521
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,AMD EPYC 7702 64-Core Processor,0-255,40,2524,2534,2551
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,GridKa,AMD EPYC 7702 64-Core Processor,0-127,15,2224,2228,2236
v1.5,0718925ef856be42cf925168de68e0b2521de4eb4c23c09b58509c56d0825fee,3,CERN,Neoverse-N1,0-159,12,2705,2714,2723
